model,sigma,accuracy,precision_macro,recall_macro,f1_macro,is_clean,accuracy_sens_abs,accuracy_sens_rel,precision_macro_sens_abs,precision_macro_sens_rel,recall_macro_sens_abs,recall_macro_sens_rel,f1_macro_sens_abs,f1_macro_sens_rel
Softmax,0.0,0.712,0.5663,0.4355,0.4396,True,,,,,,,,
LDA,0.0,0.6792,0.4836,0.5735,0.5074,True,,,,,,,,
QDA,0.0,0.2424,0.3615,0.5582,0.2581,True,,,,,,,,
Weighted Softmax,0.0,0.5939,0.4619,0.6966,0.4951,True,,,,,,,,
Softmax,0.1,0.7049,0.5489,0.4046,0.4125,False,0.0072,0.0101,0.0174,0.0308,0.0308,0.0708,0.0271,0.0615
LDA,0.1,0.6814,0.492,0.5584,0.5118,False,-0.0022,-0.0033,-0.0083,-0.0172,0.0151,0.0264,-0.0044,-0.0086
QDA,0.1,0.6164,0.4811,0.6561,0.5348,False,-0.3741,-1.5435,-0.1196,-0.331,-0.0979,-0.1753,-0.2766,-1.0717
Weighted Softmax,0.1,0.5848,0.4514,0.6819,0.4807,False,0.0091,0.0154,0.0105,0.0228,0.0147,0.0211,0.0144,0.0292
Softmax,0.5,0.6888,0.4261,0.3278,0.3342,False,0.0233,0.0327,0.1402,0.2476,0.1077,0.2472,0.1054,0.2399
LDA,0.5,0.689,0.5073,0.4309,0.443,False,-0.0098,-0.0145,-0.0237,-0.049,0.1426,0.2487,0.0644,0.1269
QDA,0.5,0.6734,0.5382,0.5798,0.5536,False,-0.4311,-1.7787,-0.1768,-0.489,-0.0216,-0.0387,-0.2955,-1.1447
Weighted Softmax,0.5,0.5475,0.4256,0.6549,0.4429,False,0.0464,0.0782,0.0363,0.0786,0.0417,0.0599,0.0522,0.1054
Softmax,1.0,0.6852,0.4117,0.3123,0.3122,False,0.0268,0.0376,0.1547,0.2731,0.1232,0.2829,0.1274,0.2899
LDA,1.0,0.6864,0.4847,0.3844,0.4008,False,-0.0072,-0.0107,-0.001,-0.0021,0.1892,0.3298,0.1065,0.21
QDA,1.0,0.6675,0.5378,0.5413,0.534,False,-0.4252,-1.7544,-0.1763,-0.4878,0.0169,0.0302,-0.2758,-1.0686
Weighted Softmax,1.0,0.5347,0.4158,0.6469,0.4295,False,0.0592,0.0997,0.0462,0.0999,0.0497,0.0713,0.0656,0.1326
