model,imputer,missing_rate,is_clean,accuracy,precision_macro,recall_macro,f1_macro,accuracy_sens_abs,accuracy_sens_rel,precision_macro_sens_abs,precision_macro_sens_rel,recall_macro_sens_abs,recall_macro_sens_rel,f1_macro_sens_abs,f1_macro_sens_rel
Softmax,none,0.0,True,0.712,0.5663,0.4355,0.4396,,,,,,,,
LDA,none,0.0,True,0.6792,0.4836,0.5735,0.5074,,,,,,,,
QDA,none,0.0,True,0.2424,0.3615,0.5582,0.2581,,,,,,,,
Weighted Softmax,none,0.0,True,0.5939,0.4619,0.6966,0.4951,,,,,,,,
Softmax,mean,0.1,False,0.695,0.5341,0.411,0.4226,0.0171,0.024,0.0323,0.0569,0.0245,0.0562,0.017,0.0388
LDA,mean,0.1,False,0.6619,0.4689,0.5336,0.485,0.0173,0.0254,0.0147,0.0305,0.0399,0.0697,0.0223,0.044
QDA,mean,0.1,False,0.2284,0.3508,0.5138,0.2434,0.0139,0.0575,0.0106,0.0294,0.0444,0.0795,0.0148,0.0572
Weighted Softmax,mean,0.1,False,0.564,0.4329,0.6546,0.4585,0.0299,0.0503,0.029,0.0627,0.0421,0.0604,0.0366,0.074
Softmax,median,0.1,False,0.6944,0.5362,0.4098,0.4207,0.0177,0.0248,0.0301,0.0532,0.0256,0.0589,0.0189,0.043
LDA,median,0.1,False,0.6611,0.4675,0.532,0.4838,0.0181,0.0266,0.0162,0.0335,0.0415,0.0724,0.0236,0.0464
QDA,median,0.1,False,0.2143,0.3328,0.5236,0.2202,0.028,0.1155,0.0287,0.0793,0.0346,0.062,0.0379,0.1469
Weighted Softmax,median,0.1,False,0.5631,0.4306,0.6535,0.456,0.0309,0.052,0.0313,0.0677,0.0431,0.0619,0.0391,0.079
Softmax,mean,0.2,False,0.678,0.5284,0.392,0.4097,0.034,0.0478,0.038,0.067,0.0435,0.0998,0.0299,0.0681
LDA,mean,0.2,False,0.6451,0.4584,0.4989,0.4652,0.0341,0.0502,0.0252,0.0521,0.0746,0.1301,0.0422,0.0831
QDA,mean,0.2,False,0.2111,0.3405,0.4827,0.2209,0.0313,0.129,0.021,0.0581,0.0755,0.1353,0.0373,0.1444
Weighted Softmax,mean,0.2,False,0.5357,0.4099,0.6207,0.4294,0.0583,0.0981,0.052,0.1125,0.0759,0.109,0.0657,0.1326
Softmax,median,0.2,False,0.6782,0.5223,0.3884,0.4041,0.0339,0.0476,0.044,0.0777,0.0471,0.1081,0.0355,0.0809
LDA,median,0.2,False,0.6439,0.4571,0.4967,0.4632,0.0352,0.0519,0.0266,0.055,0.0768,0.1339,0.0442,0.0871
QDA,median,0.2,False,0.1934,0.3138,0.4878,0.1875,0.0489,0.2019,0.0477,0.1319,0.0704,0.1262,0.0706,0.2735
Weighted Softmax,median,0.2,False,0.5348,0.4081,0.6232,0.4273,0.0591,0.0995,0.0538,0.1165,0.0735,0.1055,0.0678,0.1369
Softmax,mean,0.3,False,0.6595,0.515,0.3665,0.387,0.0525,0.0738,0.0513,0.0906,0.0689,0.1583,0.0526,0.1196
LDA,mean,0.3,False,0.6309,0.4518,0.4683,0.4485,0.0483,0.0711,0.0318,0.0658,0.1052,0.1835,0.0589,0.116
QDA,mean,0.3,False,0.1923,0.3234,0.443,0.1937,0.05,0.2064,0.0381,0.1054,0.1152,0.2064,0.0644,0.2495
Weighted Softmax,mean,0.3,False,0.5065,0.3885,0.5935,0.4025,0.0874,0.1472,0.0734,0.159,0.1031,0.148,0.0926,0.187
Softmax,median,0.3,False,0.6595,0.4957,0.3618,0.3807,0.0526,0.0738,0.0706,0.1247,0.0737,0.1692,0.0589,0.1339
LDA,median,0.3,False,0.6289,0.4502,0.4645,0.4456,0.0503,0.0741,0.0335,0.0693,0.109,0.1901,0.0618,0.1217
QDA,median,0.3,False,0.1727,0.3008,0.4481,0.1608,0.0696,0.2873,0.0607,0.1678,0.1101,0.1972,0.0973,0.3769
Weighted Softmax,median,0.3,False,0.5048,0.3841,0.5939,0.3978,0.0892,0.1502,0.0778,0.1685,0.1027,0.1474,0.0973,0.1965
