model,split,seed,accuracy,precision_macro,recall_macro,f1_macro
Softmax,60/40,383329927,0.7132,0.5843,0.4293,0.4274
LDA,60/40,383329927,0.6794,0.4847,0.5774,0.5091
QDA,60/40,383329927,0.2392,0.3586,0.5535,0.251
Weighted Softmax,60/40,383329927,0.5905,0.4575,0.695,0.4907
Softmax,60/40,3324115916,0.7119,0.5803,0.43,0.4298
LDA,60/40,3324115916,0.6776,0.4824,0.5747,0.5067
QDA,60/40,3324115916,0.24,0.3609,0.5541,0.2566
Weighted Softmax,60/40,3324115916,0.5897,0.4568,0.6908,0.4899
Softmax,60/40,2811363264,0.7133,0.5825,0.43,0.4284
LDA,60/40,2811363264,0.6802,0.4866,0.5812,0.5114
QDA,60/40,2811363264,0.2421,0.359,0.5558,0.2569
Weighted Softmax,60/40,2811363264,0.5918,0.4569,0.6915,0.4912
Softmax,60/40,1884968544,0.7134,0.5828,0.4284,0.4271
LDA,60/40,1884968544,0.6796,0.4859,0.5776,0.5099
QDA,60/40,1884968544,0.2402,0.3582,0.5533,0.253
Weighted Softmax,60/40,1884968544,0.5922,0.4574,0.6923,0.4905
Softmax,60/40,1859786275,0.7125,0.5709,0.4267,0.424
LDA,60/40,1859786275,0.6794,0.4856,0.5767,0.5094
QDA,60/40,1859786275,0.2415,0.3632,0.5529,0.2577
Weighted Softmax,60/40,1859786275,0.5895,0.4567,0.6934,0.488
Softmax,60/40,3687649985,0.7138,0.5758,0.4276,0.4254
LDA,60/40,3687649985,0.6798,0.4833,0.5742,0.5073
QDA,60/40,3687649985,0.2427,0.3617,0.5539,0.2599
Weighted Softmax,60/40,3687649985,0.5923,0.4585,0.6932,0.4913
Softmax,60/40,369133708,0.7131,0.5755,0.4268,0.4255
LDA,60/40,369133708,0.68,0.4857,0.5746,0.5086
QDA,60/40,369133708,0.2398,0.3606,0.55,0.253
Weighted Softmax,60/40,369133708,0.5912,0.4593,0.6919,0.4913
Softmax,60/40,2995172877,0.7144,0.5817,0.43,0.4299
LDA,60/40,2995172877,0.6817,0.4856,0.5713,0.5066
QDA,60/40,2995172877,0.2406,0.3637,0.5568,0.2562
Weighted Softmax,60/40,2995172877,0.591,0.4581,0.6923,0.4898
Softmax,60/40,865305066,0.7132,0.5837,0.4314,0.4319
LDA,60/40,865305066,0.6787,0.4836,0.5761,0.5077
QDA,60/40,865305066,0.2461,0.3654,0.5567,0.2636
Weighted Softmax,60/40,865305066,0.5925,0.459,0.6911,0.4924
Softmax,60/40,404488628,0.7127,0.5826,0.4271,0.4243
