model,sigma,mse,rmse,mae,r2,is_clean,mse_sens_abs,mse_sens_rel,rmse_sens_abs,rmse_sens_rel,mae_sens_abs,mae_sens_rel,r2_sens_abs,r2_sens_rel
OLS,0.0,0.5249,0.7245,0.5297,0.61,True,,,,,,,,
MBGD,0.0,0.5251,0.7246,0.5298,0.6099,True,,,,,,,,
WLS,0.0,0.532,0.7294,0.5227,0.6048,True,,,,,,,,
Ridge,0.0,0.731,0.855,0.5962,0.457,True,,,,,,,,
Lasso,0.0,0.7489,0.8654,0.6058,0.4437,True,,,,,,,,
Elastic Net,0.0,0.7673,0.8759,0.6159,0.43,True,,,,,,,,
Polynomial,0.0,0.5043,0.7101,0.5199,0.6254,True,,,,,,,,
RBF,0.0,0.6573,0.8107,0.6023,0.5117,True,,,,,,,,
Fourier,0.0,0.3878,0.6228,0.4469,0.7119,True,,,,,,,,
OLS,0.1,0.537,0.7328,0.5365,0.6011,False,0.012,0.0229,0.0083,0.0114,0.0069,0.0129,0.0089,0.0147
MBGD,0.1,0.537,0.7328,0.5366,0.601,False,0.012,0.0228,0.0082,0.0113,0.0068,0.0128,0.0089,0.0146
WLS,0.1,0.5399,0.7348,0.5321,0.5989,False,0.008,0.015,0.0054,0.0074,0.0094,0.018,0.0059,0.0098
Ridge,0.1,0.7342,0.8568,0.598,0.4546,False,0.0032,0.0043,0.0018,0.0022,0.0018,0.003,0.0024,0.0051
Lasso,0.1,0.752,0.8672,0.6076,0.4414,False,0.0031,0.0041,0.0018,0.0021,0.0018,0.003,0.0023,0.0052
Elastic Net,0.1,0.7703,0.8777,0.6177,0.4277,False,0.0031,0.004,0.0017,0.002,0.0018,0.0029,0.0023,0.0053
Polynomial,0.1,0.5218,0.7224,0.5307,0.6123,False,0.0176,0.0348,0.0123,0.0173,0.0107,0.0207,0.013,0.0209
RBF,0.1,0.7225,0.85,0.6468,0.4632,False,0.0653,0.0993,0.0393,0.0485,0.0445,0.0738,0.0485,0.0948
Fourier,0.1,0.4039,0.6355,0.4553,0.6999,False,0.0161,0.0415,0.0128,0.0205,0.0084,0.0188,0.012,0.0168
OLS,0.5,0.6296,0.7935,0.5912,0.5323,False,0.1047,0.1994,0.0689,0.0952,0.0615,0.1161,0.0777,0.1274
MBGD,0.5,0.6296,0.7935,0.5912,0.5323,False,0.1045,0.199,0.0688,0.095,0.0613,0.1158,0.0776,0.1273
WLS,0.5,0.6316,0.7947,0.5921,0.5308,False,0.0996,0.1873,0.0654,0.0896,0.0694,0.1328,0.074,0.1224
Ridge,0.5,0.7756,0.8807,0.6241,0.4238,False,0.0447,0.0611,0.0257,0.0301,0.0279,0.0468,0.0332,0.0726
Lasso,0.5,0.7957,0.892,0.6336,0.4089,False,0.0468,0.0626,0.0267,0.0308,0.0278,0.0459,0.0348,0.0784
Elastic Net,0.5,0.8128,0.9016,0.642,0.3962,False,0.0455,0.0594,0.0256,0.0292,0.0261,0.0423,0.0338,0.0787
Polynomial,0.5,0.6227,0.7891,0.5909,0.5374,False,0.1185,0.2349,0.079,0.1113,0.071,0.1365,0.088,0.1407
RBF,0.5,0.7971,0.8928,0.6871,0.4079,False,0.1398,0.2127,0.0821,0.1012,0.0848,0.1408,0.1038,0.2029
Fourier,0.5,0.5593,0.7478,0.5489,0.5845,False,0.1714,0.4421,0.1251,0.2009,0.102,0.2281,0.1274,0.1789
OLS,1.0,0.7794,0.8828,0.6764,0.421,False,0.2545,0.4848,0.1583,0.2185,0.1467,0.277,0.1891,0.3099
MBGD,1.0,0.7794,0.8829,0.6764,0.421,False,0.2544,0.4844,0.1582,0.2184,0.1466,0.2766,0.189,0.3098
WLS,1.0,0.7876,0.8875,0.6798,0.4149,False,0.2556,0.4806,0.1581,0.2168,0.1571,0.3006,0.1899,0.314
Ridge,1.0,0.8842,0.9403,0.6839,0.3431,False,0.1533,0.2097,0.0854,0.0998,0.0878,0.1472,0.1139,0.2491
Lasso,1.0,0.9044,0.951,0.6923,0.3281,False,0.1555,0.2077,0.0856,0.0989,0.0866,0.1429,0.1155,0.2604
Elastic Net,1.0,0.9186,0.9585,0.6985,0.3176,False,0.1514,0.1973,0.0825,0.0942,0.0826,0.1342,0.1125,0.2615
Polynomial,1.0,0.7696,0.8773,0.6685,0.4283,False,0.2653,0.5262,0.1672,0.2354,0.1486,0.2858,0.1971,0.3152
RBF,1.0,0.8479,0.9208,0.7136,0.3701,False,0.1907,0.2901,0.1101,0.1358,0.1113,0.1847,0.1416,0.2768
Fourier,1.0,0.7664,0.8754,0.6622,0.4307,False,0.3786,0.9761,0.2527,0.4057,0.2153,0.4817,0.2812,0.395
