model,imputer,missing_rate,is_clean,mse,rmse,mae,r2,mse_sens_abs,mse_sens_rel,rmse_sens_abs,rmse_sens_rel,mae_sens_abs,mae_sens_rel,r2_sens_abs,r2_sens_rel
OLS,none,0.0,True,0.5249,0.7245,0.5297,0.61,,,,,,,,
MBGD,none,0.0,True,0.5251,0.7246,0.5298,0.6099,,,,,,,,
WLS,none,0.0,True,0.532,0.7294,0.5227,0.6048,,,,,,,,
Ridge,none,0.0,True,0.731,0.855,0.5962,0.457,,,,,,,,
Lasso,none,0.0,True,0.7489,0.8654,0.6058,0.4437,,,,,,,,
Elastic Net,none,0.0,True,0.7673,0.8759,0.6159,0.43,,,,,,,,
Polynomial,none,0.0,True,0.5043,0.7101,0.5199,0.6254,,,,,,,,
RBF,none,0.0,True,0.6573,0.8107,0.6023,0.5117,,,,,,,,
Fourier,none,0.0,True,0.3878,0.6228,0.4469,0.7119,,,,,,,,
OLS,mean,0.1,False,0.6684,0.8175,0.6023,0.5035,0.1434,0.2733,0.093,0.1284,0.0726,0.1372,0.1066,0.1747
MBGD,mean,0.1,False,0.6684,0.8176,0.6024,0.5034,0.1433,0.273,0.0929,0.1283,0.0725,0.1369,0.1065,0.1746
WLS,mean,0.1,False,0.6685,0.8176,0.5995,0.5033,0.1366,0.2568,0.0883,0.1211,0.0768,0.1469,0.1015,0.1678
Ridge,mean,0.1,False,0.7968,0.8926,0.6262,0.4081,0.0658,0.09,0.0376,0.044,0.0301,0.0504,0.0489,0.1069
Lasso,mean,0.1,False,0.815,0.9028,0.6349,0.3946,0.0661,0.0883,0.0374,0.0432,0.0292,0.0482,0.0491,0.1107
Elastic Net,mean,0.1,False,0.8315,0.9119,0.6441,0.3823,0.0643,0.0838,0.036,0.041,0.0282,0.0458,0.0478,0.1111
Polynomial,mean,0.1,False,0.6541,0.8088,0.5966,0.5141,0.1498,0.2971,0.0986,0.1389,0.0767,0.1475,0.1113,0.178
RBF,mean,0.1,False,0.7727,0.879,0.6652,0.426,0.1154,0.1756,0.0683,0.0842,0.0629,0.1045,0.0857,0.1675
Fourier,mean,0.1,False,0.5104,0.7145,0.52,0.6208,0.1226,0.3162,0.0917,0.1473,0.073,0.1634,0.0911,0.128
OLS,median,0.1,False,0.6806,0.825,0.6062,0.4944,0.1557,0.2967,0.1005,0.1387,0.0766,0.1445,0.1157,0.1896
MBGD,median,0.1,False,0.6807,0.8251,0.6063,0.4943,0.1556,0.2964,0.1004,0.1386,0.0764,0.1443,0.1156,0.1896
WLS,median,0.1,False,0.6804,0.8249,0.6037,0.4945,0.1484,0.279,0.0955,0.1309,0.081,0.155,0.1103,0.1823
Ridge,median,0.1,False,0.8015,0.8953,0.6281,0.4046,0.0705,0.0964,0.0403,0.0471,0.0319,0.0535,0.0524,0.1146
Lasso,median,0.1,False,0.8181,0.9045,0.6364,0.3922,0.0693,0.0925,0.0391,0.0452,0.0306,0.0505,0.0515,0.116
Elastic Net,median,0.1,False,0.8346,0.9136,0.6456,0.38,0.0673,0.0878,0.0376,0.043,0.0297,0.0482,0.05,0.1163
Polynomial,median,0.1,False,0.6635,0.8146,0.5992,0.5071,0.1593,0.3158,0.1044,0.1471,0.0793,0.1526,0.1183,0.1892
RBF,median,0.1,False,0.8171,0.9039,0.6928,0.393,0.1598,0.2431,0.0932,0.115,0.0905,0.1502,0.1187,0.232
Fourier,median,0.1,False,0.509,0.7135,0.5189,0.6218,0.1212,0.3126,0.0907,0.1457,0.072,0.1611,0.0901,0.1265
OLS,knn,0.1,False,0.6192,0.7869,0.5777,0.54,0.0943,0.1796,0.0624,0.0861,0.0481,0.0907,0.07,0.1148
MBGD,knn,0.1,False,0.6193,0.787,0.5778,0.5399,0.0942,0.1794,0.0623,0.086,0.048,0.0905,0.07,0.1147
WLS,knn,0.1,False,0.6183,0.7863,0.5718,0.5407,0.0863,0.1622,0.0569,0.0781,0.0491,0.094,0.0641,0.106
Ridge,knn,0.1,False,0.7733,0.8793,0.6158,0.4256,0.0423,0.0578,0.0244,0.0285,0.0196,0.0329,0.0314,0.0687
Lasso,knn,0.1,False,0.7907,0.8892,0.6244,0.4126,0.0419,0.0559,0.0239,0.0276,0.0187,0.0308,0.0311,0.0701
Elastic Net,knn,0.1,False,0.8078,0.8988,0.6338,0.3999,0.0406,0.0529,0.0229,0.0261,0.0179,0.0291,0.0302,0.0701
