model,split,seed,mse,rmse,mae,r2
OLS,60/40,383329927,0.5371,0.7329,0.5281,0.5979
MBGD,60/40,383329927,0.5371,0.7329,0.5281,0.5979
WLS,60/40,383329927,0.5818,0.7627,0.5255,0.5645
Ridge,60/40,383329927,0.7308,0.8549,0.5991,0.4529
Lasso,60/40,383329927,0.7473,0.8644,0.607,0.4406
Elastic Net,60/40,383329927,0.7658,0.8751,0.6174,0.4267
Polynomial,60/40,383329927,0.7726,0.879,0.5245,0.4217
RBF,60/40,383329927,0.7615,0.8726,0.6703,0.4299
Fourier,60/40,383329927,715691.5487,845.9855,15.5326,-535759.2071
OLS,60/40,3324115916,0.5413,0.7357,0.5321,0.5985
MBGD,60/40,3324115916,0.5413,0.7358,0.5321,0.5984
WLS,60/40,3324115916,0.6532,0.8082,0.529,0.5154
Ridge,60/40,3324115916,0.7702,0.8776,0.6104,0.4287
Lasso,60/40,3324115916,0.7873,0.8873,0.6187,0.4159
Elastic Net,60/40,3324115916,0.8055,0.8975,0.6285,0.4025
Polynomial,60/40,3324115916,1.5755,1.2552,0.5288,-0.1687
RBF,60/40,3324115916,0.74,0.8602,0.6474,0.4511
Fourier,60/40,3324115916,0.4708,0.6861,0.4528,0.6508
OLS,60/40,2811363264,0.5252,0.7247,0.5322,0.5984
MBGD,60/40,2811363264,0.5253,0.7247,0.5322,0.5984
WLS,60/40,2811363264,0.5506,0.742,0.5281,0.5791
Ridge,60/40,2811363264,0.7171,0.8468,0.5936,0.4518
Lasso,60/40,2811363264,0.734,0.8568,0.602,0.4388
Elastic Net,60/40,2811363264,0.7514,0.8669,0.6124,0.4255
Polynomial,60/40,2811363264,0.5143,0.7172,0.5235,0.6068
RBF,60/40,2811363264,0.7137,0.8448,0.6469,0.4544
Fourier,60/40,2811363264,0.634,0.7962,0.4573,0.5153
OLS,60/40,1884968544,0.5092,0.7136,0.5234,0.613
MBGD,60/40,1884968544,0.5092,0.7136,0.5234,0.6129
WLS,60/40,1884968544,0.5525,0.7433,0.5198,0.58
Ridge,60/40,1884968544,0.6938,0.8329,0.5862,0.4726
Lasso,60/40,1884968544,0.7108,0.8431,0.5948,0.4597
Elastic Net,60/40,1884968544,0.729,0.8538,0.6052,0.4459
Polynomial,60/40,1884968544,0.6393,0.7996,0.5146,0.514
RBF,60/40,1884968544,0.657,0.8105,0.6135,0.5006
Fourier,60/40,1884968544,531278.3567,728.8884,15.3965,-403844.5793
OLS,60/40,1859786275,5.2299,2.2869,0.5544,-2.8997
MBGD,60/40,1859786275,5.1881,2.2777,0.5543,-2.8685
WLS,60/40,1859786275,0.5875,0.7665,0.5331,0.5619
Ridge,60/40,1859786275,4.6555,2.1577,0.6232,-2.4714
Lasso,60/40,1859786275,3.0426,1.7443,0.6261,-1.2687
Elastic Net,60/40,1859786275,2.7888,1.67,0.6343,-1.0795
Polynomial,60/40,1859786275,3291.1727,57.3687,1.3478,-2453.0732
RBF,60/40,1859786275,0.7374,0.8587,0.6563,0.4501
Fourier,60/40,1859786275,0.3973,0.6303,0.4548,0.7038
OLS,60/40,3687649985,0.5292,0.7275,0.5328,0.5886
MBGD,60/40,3687649985,0.5289,0.7273,0.533,0.5888
WLS,60/40,3687649985,0.7677,0.8762,0.5271,0.4032
Ridge,60/40,3687649985,0.7253,0.8517,0.5919,0.4361
Lasso,60/40,3687649985,0.7323,0.8558,0.5981,0.4307
Elastic Net,60/40,3687649985,0.7468,0.8642,0.607,0.4194
Polynomial,60/40,3687649985,3.0583,1.7488,0.5298,-1.3776
RBF,60/40,3687649985,0.7255,0.8518,0.6491,0.436
Fourier,60/40,3687649985,0.4716,0.6868,0.456,0.6333
OLS,60/40,369133708,0.5106,0.7146,0.5259,0.6146
MBGD,60/40,369133708,0.5108,0.7147,0.5261,0.6144
WLS,60/40,369133708,0.5194,0.7207,0.5195,0.6079
Ridge,60/40,369133708,0.7183,0.8475,0.596,0.4578
Lasso,60/40,369133708,0.7365,0.8582,0.6045,0.444
Elastic Net,60/40,369133708,0.7542,0.8685,0.6147,0.4307
Polynomial,60/40,369133708,0.5212,0.722,0.5186,0.6066
RBF,60/40,369133708,0.6642,0.815,0.6149,0.4986
Fourier,60/40,369133708,1.7198,1.3114,0.4689,-0.2982
OLS,60/40,2995172877,0.5239,0.7238,0.5348,0.6074
MBGD,60/40,2995172877,0.5241,0.7239,0.535,0.6072
WLS,60/40,2995172877,0.7581,0.8707,0.5303,0.4319
Ridge,60/40,2995172877,0.7432,0.8621,0.603,0.443
Lasso,60/40,2995172877,0.7626,0.8733,0.6117,0.4285
Elastic Net,60/40,2995172877,0.7805,0.8834,0.6218,0.4151
Polynomial,60/40,2995172877,4.1674,2.0414,0.5349,-2.1232
RBF,60/40,2995172877,0.7235,0.8506,0.6467,0.4578
Fourier,60/40,2995172877,1239.9238,35.2126,0.9795,-928.247
OLS,60/40,865305066,0.5273,0.7261,0.531,0.601
MBGD,60/40,865305066,0.5274,0.7262,0.5309,0.6009
WLS,60/40,865305066,0.5899,0.7681,0.5266,0.5536
Ridge,60/40,865305066,0.7272,0.8528,0.5988,0.4497
Lasso,60/40,865305066,0.7429,0.8619,0.6075,0.4378
Elastic Net,60/40,865305066,0.7609,0.8723,0.6179,0.4242
Polynomial,60/40,865305066,0.6926,0.8322,0.5218,0.4759
RBF,60/40,865305066,0.7152,0.8457,0.6472,0.4588
Fourier,60/40,865305066,30.8335,5.5528,0.5361,-22.3324
OLS,60/40,404488628,0.5437,0.7373,0.5344,0.5943
MBGD,60/40,404488628,0.5438,0.7374,0.5345,0.5942
WLS,60/40,404488628,0.5576,0.7468,0.5285,0.5838
Ridge,60/40,404488628,0.7461,0.8638,0.6011,0.4432
Lasso,60/40,404488628,0.7641,0.8741,0.6096,0.4297
Elastic Net,60/40,404488628,0.7811,0.8838,0.6191,0.4171
Polynomial,60/40,404488628,0.6114,0.7819,0.5249,0.5438
RBF,60/40,404488628,0.7299,0.8544,0.6471,0.4553
Fourier,60/40,404488628,2329.4705,48.2646,1.0819,-1737.425
OLS,70/30,2261209995,0.5062,0.7115,0.5215,0.6167
MBGD,70/30,2261209995,0.506,0.7114,0.5214,0.6169
WLS,70/30,2261209995,0.7153,0.8457,0.5198,0.4585
Ridge,70/30,2261209995,0.707,0.8409,0.5905,0.4647
Lasso,70/30,2261209995,0.7268,0.8525,0.6008,0.4498
Elastic Net,70/30,2261209995,0.7453,0.8633,0.6111,0.4358
Polynomial,70/30,2261209995,3.8155,1.9533,0.5261,-1.8886
RBF,70/30,2261209995,0.6769,0.8227,0.6244,0.4875
Fourier,70/30,2261209995,0.4894,0.6996,0.4524,0.6295
OLS,70/30,4190266092,0.531,0.7287,0.5318,0.5987
MBGD,70/30,4190266092,0.5301,0.7281,0.5318,0.5993
WLS,70/30,4190266092,0.8648,0.9299,0.5289,0.3464
Ridge,70/30,4190266092,0.7337,0.8566,0.5916,0.4454
Lasso,70/30,4190266092,0.736,0.8579,0.5983,0.4437
Elastic Net,70/30,4190266092,0.7525,0.8674,0.6082,0.4313
Polynomial,70/30,4190266092,4.9276,2.2198,0.5358,-2.7244
RBF,70/30,4190266092,0.7355,0.8576,0.6542,0.4441
Fourier,70/30,4190266092,0.3976,0.6306,0.4537,0.6995
OLS,70/30,3160032368,0.5254,0.7249,0.5239,0.6025
MBGD,70/30,3160032368,0.5254,0.7249,0.5239,0.6025
WLS,70/30,3160032368,0.5906,0.7685,0.5237,0.5532
Ridge,70/30,3160032368,0.7132,0.8445,0.5939,0.4605
Lasso,70/30,3160032368,0.7291,0.8539,0.6023,0.4485
Elastic Net,70/30,3160032368,0.7474,0.8645,0.6123,0.4346
Polynomial,70/30,3160032368,0.8681,0.9317,0.5192,0.3433
RBF,70/30,3160032368,0.7081,0.8415,0.644,0.4644
Fourier,70/30,3160032368,12162.9003,110.2855,2.2317,-9199.6262
OLS,70/30,3269070126,0.5378,0.7333,0.5376,0.5978
MBGD,70/30,3269070126,0.5379,0.7334,0.5378,0.5977
WLS,70/30,3269070126,0.5786,0.7606,0.531,0.5673
Ridge,70/30,3269070126,0.7431,0.862,0.6042,0.4443
Lasso,70/30,3269070126,0.7622,0.873,0.6132,0.43
Elastic Net,70/30,3269070126,0.7806,0.8835,0.6233,0.4162
Polynomial,70/30,3269070126,0.8614,0.9281,0.5237,0.3558
RBF,70/30,3269070126,0.6967,0.8347,0.6255,0.4789
Fourier,70/30,3269070126,2.2572,1.5024,0.4693,-0.6881
OLS,70/30,3081541439,0.5369,0.7327,0.5399,0.612
MBGD,70/30,3081541439,0.537,0.7328,0.5399,0.612
WLS,70/30,3081541439,0.5338,0.7306,0.5311,0.6143
Ridge,70/30,3081541439,0.7671,0.8758,0.6122,0.4457
Lasso,70/30,3081541439,0.7873,0.8873,0.6212,0.4311
Elastic Net,70/30,3081541439,0.8076,0.8987,0.6318,0.4164
Polynomial,70/30,3081541439,0.5128,0.7161,0.53,0.6295
RBF,70/30,3081541439,0.7592,0.8713,0.6662,0.4514
Fourier,70/30,3081541439,0.8318,0.912,0.4708,0.3989
OLS,70/30,3376120482,0.5491,0.741,0.5366,0.6027
MBGD,70/30,3376120482,0.549,0.741,0.5366,0.6028
WLS,70/30,3376120482,0.6073,0.7793,0.5338,0.5606
Ridge,70/30,3376120482,0.7476,0.8646,0.608,0.4591
Lasso,70/30,3376120482,0.764,0.8741,0.6154,0.4472
Elastic Net,70/30,3376120482,0.7851,0.886,0.6266,0.432
Polynomial,70/30,3376120482,0.8577,0.9261,0.5318,0.3794
RBF,70/30,3376120482,0.7457,0.8636,0.6614,0.4604
Fourier,70/30,3376120482,0.4968,0.7049,0.4665,0.6405
OLS,70/30,2204291346,0.5236,0.7236,0.5313,0.6115
MBGD,70/30,2204291346,0.5238,0.7237,0.5315,0.6114
WLS,70/30,2204291346,0.5285,0.727,0.5232,0.6079
Ridge,70/30,2204291346,0.7372,0.8586,0.6005,0.453
Lasso,70/30,2204291346,0.7565,0.8698,0.6089,0.4387
Elastic Net,70/30,2204291346,0.7751,0.8804,0.6195,0.425
Polynomial,70/30,2204291346,0.5437,0.7374,0.526,0.5966
RBF,70/30,2204291346,0.7314,0.8552,0.6528,0.4574
Fourier,70/30,2204291346,18.4489,4.2952,0.5365,-12.688
OLS,70/30,550243861,0.5269,0.7259,0.5332,0.6109
MBGD,70/30,550243861,0.5271,0.726,0.5333,0.6108
WLS,70/30,550243861,0.5303,0.7282,0.5273,0.6084
Ridge,70/30,550243861,0.7403,0.8604,0.5995,0.4533
Lasso,70/30,550243861,0.7603,0.8719,0.6088,0.4386
Elastic Net,70/30,550243861,0.7796,0.8829,0.6199,0.4243
Polynomial,70/30,550243861,0.5328,0.73,0.5248,0.6065
RBF,70/30,550243861,0.7216,0.8495,0.6469,0.4671
Fourier,70/30,550243861,0.3892,0.6239,0.446,0.7126
OLS,70/30,3606691181,0.5373,0.733,0.5385,0.6086
MBGD,70/30,3606691181,0.5373,0.733,0.5385,0.6086
WLS,70/30,3606691181,0.5517,0.7427,0.5342,0.5981
Ridge,70/30,3606691181,0.7574,0.8703,0.609,0.4483
Lasso,70/30,3606691181,0.7761,0.8809,0.6171,0.4347
Elastic Net,70/30,3606691181,0.7954,0.8918,0.6274,0.4206
Polynomial,70/30,3606691181,0.5181,0.7198,0.5293,0.6226
RBF,70/30,3606691181,0.7304,0.8546,0.6476,0.4679
Fourier,70/30,3606691181,0.4145,0.6438,0.456,0.698
OLS,70/30,1934392872,0.5042,0.7101,0.5254,0.617
MBGD,70/30,1934392872,0.5044,0.7102,0.5255,0.6168
WLS,70/30,1934392872,0.5045,0.7103,0.5174,0.6168
Ridge,70/30,1934392872,0.7092,0.8422,0.5911,0.4612
Lasso,70/30,1934392872,0.7274,0.8529,0.5997,0.4474
Elastic Net,70/30,1934392872,0.746,0.8637,0.6102,0.4333
Polynomial,70/30,1934392872,0.4865,0.6975,0.519,0.6304
RBF,70/30,1934392872,0.7008,0.8371,0.6395,0.4676
Fourier,70/30,1934392872,1089.7591,33.0115,1.1579,-826.8719
OLS,80/20,2148995112,0.5196,0.7208,0.5291,0.6052
MBGD,80/20,2148995112,0.5195,0.7208,0.5292,0.6053
WLS,80/20,2148995112,0.744,0.8625,0.5253,0.4347
Ridge,80/20,2148995112,0.7269,0.8526,0.5966,0.4477
Lasso,80/20,2148995112,0.7427,0.8618,0.6044,0.4357
Elastic Net,80/20,2148995112,0.7583,0.8708,0.6138,0.4238
Polynomial,80/20,2148995112,3.0235,1.7388,0.5357,-1.2974
RBF,80/20,2148995112,0.6904,0.8309,0.6263,0.4754
Fourier,80/20,2148995112,0.4023,0.6343,0.4481,0.6943
OLS,80/20,1592565386,0.5186,0.7201,0.5287,0.6088
MBGD,80/20,1592565386,0.5187,0.7202,0.5288,0.6087
WLS,80/20,1592565386,0.5282,0.7268,0.5249,0.6015
Ridge,80/20,1592565386,0.7237,0.8507,0.6019,0.454
Lasso,80/20,1592565386,0.7435,0.8622,0.6111,0.4391
Elastic Net,80/20,1592565386,0.76,0.8718,0.6199,0.4266
Polynomial,80/20,1592565386,0.4998,0.707,0.5191,0.6229
RBF,80/20,1592565386,0.7211,0.8492,0.6507,0.456
Fourier,80/20,1592565386,5.6725,2.3817,0.4948,-3.2795
OLS,80/20,784044718,0.573,0.757,0.552,0.5824
MBGD,80/20,784044718,0.573,0.757,0.5522,0.5824
WLS,80/20,784044718,0.5947,0.7712,0.5475,0.5665
Ridge,80/20,784044718,0.7982,0.8934,0.6241,0.4182
Lasso,80/20,784044718,0.8172,0.904,0.6326,0.4044
Elastic Net,80/20,784044718,0.834,0.9132,0.6424,0.3922
Polynomial,80/20,784044718,0.5518,0.7428,0.542,0.5978
RBF,80/20,784044718,0.8106,0.9003,0.6936,0.4092
Fourier,80/20,784044718,0.4316,0.657,0.466,0.6854
OLS,80/20,3980425317,0.5149,0.7176,0.5286,0.6073
MBGD,80/20,3980425317,0.515,0.7176,0.5286,0.6073
WLS,80/20,3980425317,0.5232,0.7233,0.5208,0.601
Ridge,80/20,3980425317,0.7154,0.8458,0.5968,0.4544
Lasso,80/20,3980425317,0.7351,0.8574,0.606,0.4394
Elastic Net,80/20,3980425317,0.7533,0.8679,0.6161,0.4255
Polynomial,80/20,3980425317,0.5402,0.735,0.5228,0.588
RBF,80/20,3980425317,0.6732,0.8205,0.6212,0.4866
Fourier,80/20,3980425317,406.123,20.1525,0.9009,-308.7297
OLS,80/20,3356806661,0.5438,0.7375,0.5298,0.5973
MBGD,80/20,3356806661,0.5408,0.7354,0.5297,0.5995
WLS,80/20,3356806661,1.4808,1.2169,0.5378,-0.0966
Ridge,80/20,3356806661,0.7729,0.8791,0.6004,0.4277
Lasso,80/20,3356806661,0.7704,0.8777,0.6077,0.4295
Elastic Net,80/20,3356806661,0.7885,0.888,0.6186,0.4161
Polynomial,80/20,3356806661,3.4467,1.8565,0.541,-1.5524
RBF,80/20,3356806661,0.7468,0.8642,0.6478,0.4469
Fourier,80/20,3356806661,0.6183,0.7863,0.4555,0.5421
OLS,80/20,2765379632,0.5201,0.7212,0.5255,0.6113
MBGD,80/20,2765379632,0.5202,0.7212,0.5255,0.6113
WLS,80/20,2765379632,0.5246,0.7243,0.5169,0.608
Ridge,80/20,2765379632,0.7182,0.8474,0.5871,0.4633
Lasso,80/20,2765379632,0.7364,0.8582,0.5963,0.4497
Elastic Net,80/20,2765379632,0.7542,0.8684,0.6066,0.4364
Polynomial,80/20,2765379632,0.4976,0.7054,0.5156,0.6281
RBF,80/20,2765379632,0.7548,0.8688,0.6648,0.4359
Fourier,80/20,2765379632,186.8588,13.6696,0.6711,-138.6393
OLS,80/20,1728356533,0.5391,0.7342,0.5364,0.5933
MBGD,80/20,1728356533,0.539,0.7342,0.5366,0.5933
WLS,80/20,1728356533,1.4544,1.206,0.5356,-0.0972
Ridge,80/20,1728356533,0.7531,0.8678,0.6086,0.4318
Lasso,80/20,1728356533,0.7706,0.8779,0.6175,0.4186
Elastic Net,80/20,1728356533,0.7868,0.887,0.6264,0.4065
Polynomial,80/20,1728356533,7.9056,2.8117,0.5553,-4.964
RBF,80/20,1728356533,0.7306,0.8547,0.653,0.4488
Fourier,80/20,1728356533,0.3939,0.6276,0.4515,0.7029
OLS,80/20,3533734220,0.5294,0.7276,0.5364,0.6055
